date,site,dailyMean
2014-09-22,0677,2.64666666667
2014-09-23,0677,2.3
2014-09-24,0677,1.95333333333
2014-09-25,0677,1.60666666667
2014-09-26,0677,1.26
2014-09-27,0677,1.13333333333
2014-09-28,0677,1.00666666667
2014-09-29,0677,0.88
2014-09-30,0677,0.753333333333
2014-10-01,0677,0.626666666667
2014-10-02,0677,0.5
2014-10-03,0677,0.513333333333
2014-10-04,0677,0.526666666667
2014-10-05,0677,0.54
2014-10-06,0677,0.553333333333
2014-10-07,0677,0.566666666667
2014-10-08,0677,0.58
2014-10-09,0677,0.93
2014-10-10,0677,1.28
2014-10-11,0677,1.63
2014-10-12,0677,1.98
2014-10-13,0677,2.33
2014-10-14,0677,2.68
2014-10-15,0677,2.31
2014-10-16,0677,1.94
2014-10-17,0677,1.57
2014-10-18,0677,1.2
2014-10-19,0677,0.83
2014-10-20,0677,0.46
2014-10-21,0677,0.383333333333
2014-10-22,0677,0.306666666667
2014-10-23,0677,0.23
2014-10-24,0677,0.153333333333
2014-10-25,0677,0.0766666666667
2014-10-26,0677,0.0
2014-10-27,0677,0.0933333333333
2014-10-28,0677,0.186666666667
2014-10-29,0677,0.28
2014-10-30,0677,0.373333333333
2014-10-31,0677,0.466666666667
2014-11-01,0677,0.56
2014-11-02,0677,0.53
2014-11-03,0677,0.5
2014-11-04,0677,0.47
2014-11-05,0677,0.44
2014-11-06,0677,0.41
2014-11-07,0677,0.38
2014-11-08,0677,0.77
2014-11-09,0677,1.16
2014-11-10,0677,1.55
2014-11-11,0677,1.94
2014-11-12,0677,2.33
2014-11-13,0677,2.72
2014-11-14,0677,2.64333333333
2014-11-15,0677,2.56666666667
2014-11-16,0677,2.49
2014-11-17,0677,2.41333333333
2014-11-18,0677,2.33666666667
2014-11-19,0677,2.26
2014-11-20,0677,1.97
2014-11-21,0677,1.68
2014-11-22,0677,1.39
2014-11-23,0677,1.1
2014-11-24,0677,0.81
2014-11-25,0677,0.52
2014-11-26,0677,0.506666666667
2014-11-27,0677,0.493333333333
2014-11-28,0677,0.48
2014-11-29,0677,0.466666666667
2014-11-30,0677,0.453333333333
2014-12-01,0677,0.44
2014-12-02,0677,0.59
2014-12-03,0677,0.74
2014-12-04,0677,0.89
2014-12-05,0677,1.04
2014-12-06,0677,1.19
2014-12-07,0677,1.34
2014-12-08,0677,1.17666666667
2014-12-09,0677,1.01333333333
2014-12-10,0677,0.85
2014-12-11,0677,0.686666666667
2014-12-12,0677,0.523333333333
2014-12-13,0677,0.36
2014-12-14,0677,0.52
2014-12-15,0677,0.68
2014-12-16,0677,0.84
2014-12-17,0677,1.0
2014-12-18,0677,1.16
2014-12-19,0677,1.32
2014-12-20,0677,1.3
2014-12-21,0677,1.28
2014-12-22,0677,1.26
2014-12-23,0677,1.24
2014-12-24,0677,1.22
2014-12-25,0677,1.2
2014-12-26,0677,1.9
2014-12-27,0677,2.6
2014-12-28,0677,3.3
2014-12-29,0677,4.0
2014-12-30,0677,4.7
2014-12-31,0677,5.4
2015-01-01,0677,5.4
2015-01-02,0677,5.4
2015-01-03,0677,5.4
2015-01-04,0677,5.4
2015-01-05,0677,5.4
2015-01-06,0677,5.4
2015-01-07,0677,5.4
2015-01-08,0677,5.4
2015-01-09,0677,5.4
2015-01-10,0677,5.4
2015-01-11,0677,5.4
2015-01-12,0677,5.4
2015-01-13,0677,5.4
2015-01-14,0677,5.4
2015-01-15,0677,5.4
2015-01-16,0677,5.4
2015-01-17,0677,5.4
2015-01-18,0677,5.4
2015-01-19,0677,5.4
2015-01-20,0677,5.4
2015-01-21,0677,5.4
2015-01-22,0677,5.4
2015-01-23,0677,5.4
2015-01-24,0677,5.4
2015-01-25,0677,5.4
2015-01-26,0677,5.4
