Index,1_WD_COS,1_WD_SIN,1_NO,1_NH3,1_SO2,1_FOR,1_NO2,1_BEN,1_TOL,1_pXY,1_mXY,1_123TMB,1_oXY,1_ETB,1_STY,1_CO2,1_CH4,1_H2S,1_CO,1_WS,1_TEMP,1_ATP,1_SR,1_o3ppb,8hro3ppb
1989,-0.719,0.695,33.300,8.300,6.300,4.000,106.400,3.800,67.700,9.700,18.100,6.000,11.300,20.500,4.800,1013.400,1.700,2.400,1.100,1.900,15.200,101.700,1.400,5.890,17.156
1990,-0.923,0.384,47.500,3.100,5.400,3.700,102.300,3.800,35.800,6.800,10.400,7.700,6.700,22.400,2.600,1103.700,2.000,2.400,1.100,1.900,14.200,101.700,1.400,5.280,11.540
1991,-0.981,0.196,169.200,3.600,8.900,5.100,96.900,7.400,45.100,9.300,14.300,9.200,10.300,25.700,3.700,1101.500,2.100,2.900,1.500,1.800,13.500,101.700,1.400,6.780,7.211
1992,-0.175,-0.985,20.100,6.800,18.000,4.800,95.700,4.900,36.200,7.200,9.600,8.300,9.400,106.500,5.600,1169.900,1.500,3.500,1.600,1.700,13.500,101.700,1.400,10.540,6.670
1993,0.578,-0.816,7.200,5.600,19.900,6.700,61.700,4.100,9.200,6.000,4.600,6.800,3.500,146.700,9.700,957.200,1.400,4.700,0.600,1.800,12.700,101.700,1.400,14.550,7.624
1994,0.483,-0.875,21.300,8.400,11.100,1.400,91.500,3.200,25.100,5.100,6.200,8.000,4.400,27.300,2.900,886.800,1.600,12.300,0.700,1.200,12.300,101.700,1.400,5.050,7.709
1995,0.332,-0.943,20.500,13.800,10.300,0.300,89.000,1.900,12.100,5.000,6.000,6.100,5.600,27.100,1.100,929.600,1.500,6.400,0.800,1.100,12.200,101.700,1.400,5.640,7.455
1996,0.203,-0.979,11.500,19.700,5.700,7.700,68.800,1.400,11.400,4.300,3.000,5.300,4.400,27.100,1.700,1130.500,1.600,22.100,0.600,1.200,12.200,101.700,1.400,11.460,8.149
1997,0.647,-0.763,11.300,15.400,5.100,7.100,74.200,1.500,12.000,4.600,4.800,6.100,2.900,26.100,0.900,1105.400,1.600,16.400,0.500,1.200,11.800,101.800,1.400,8.580,8.485
1998,0.350,-0.937,48.100,11.000,9.300,2.000,87.400,2.200,25.100,5.100,6.500,5.800,4.000,28.200,1.500,1095.900,1.600,5.100,0.700,0.900,11.300,101.900,19.100,5.650,8.531
1999,0.392,-0.920,36.100,5.300,20.000,5.500,71.700,3.000,7.400,4.500,3.700,7.100,3.100,28.000,13.800,797.100,1.500,4.300,0.600,1.300,12.200,101.900,170.300,9.160,8.829
2000,0.552,-0.834,23.300,35.500,25.900,3.300,50.400,3.500,7.000,4.100,1.800,4.000,2.400,89.900,12.500,847.600,1.700,5.900,0.500,2.000,14.100,102.000,359.200,20.330,10.053
2001,0.778,-0.628,14.700,11.000,32.000,8.300,34.800,2.700,6.200,1.400,3.000,4.100,1.600,19.900,11.400,906.500,1.400,6.200,0.300,2.600,15.800,102.000,529.300,35.220,12.636
2002,0.906,-0.423,12.700,3.300,28.800,9.100,34.800,3.500,7.600,1.600,3.700,1.300,2.700,31.200,9.400,798.300,1.400,3.000,0.300,3.400,17.200,101.900,612.400,40.400,17.055
2003,0.804,-0.595,8.800,5.500,21.100,7.600,26.400,3.500,5.200,2.100,2.500,3.500,2.900,44.800,9.100,908.700,1.400,1.900,0.300,2.200,18.200,101.900,696.300,47.770,22.321
2004,0.489,-0.872,8.100,4.300,15.400,6.200,9.500,3.700,3.700,1.200,1.400,3.900,3.800,29.700,13.400,850.600,1.300,1.300,0.200,2.200,19.300,101.800,722.600,54.510,27.703
2005,0.321,-0.947,6.100,0.800,179.200,8.600,21.400,3.600,7.100,0.700,2.500,15.000,3.300,32.800,14.400,844.300,1.400,1.400,0.200,2.500,19.900,101.700,602.300,54.830,33.484
2006,0.473,-0.881,6.000,2.000,179.800,8.400,33.900,2.500,10.600,0.500,4.500,14.000,2.100,29.200,10.800,795.000,1.500,2.100,0.200,2.400,20.400,101.700,484.300,58.470,40.086
2007,0.705,-0.710,4.600,3.000,117.500,8.500,22.200,3.000,5.100,1.200,1.500,1.500,4.600,40.800,8.000,778.000,1.300,2.900,0.200,2.700,20.700,101.600,382.700,59.540,46.384
2008,0.629,-0.777,5.700,4.900,50.000,8.200,24.400,1.700,6.000,1.400,2.400,10.500,4.000,41.700,6.300,794.700,1.500,3.400,0.200,2.600,20.600,101.600,137.100,46.850,49.699
2009,0.810,-0.586,3.600,3.500,10.700,5.600,28.600,1.700,4.800,2.100,3.700,1.100,3.300,45.200,7.300,981.700,1.400,4.200,0.300,2.000,20.100,101.600,18.500,38.180,50.069
2010,0.548,0.837,20.400,9.000,10.600,6.500,84.300,1.000,27.800,5.600,6.700,5.500,6.300,59.200,2.300,897.200,1.300,5.000,0.600,0.900,19.400,101.600,1.400,17.450,47.200
2011,0.667,0.745,98.800,6.700,10.600,7.200,124.800,5.400,45.200,9.500,16.600,7.500,11.100,31.800,3.300,946.700,1.400,2.500,1.400,1.000,18.800,101.500,1.400,4.130,41.745
2012,-0.360,0.933,120.100,6.200,27.300,8.800,155.100,8.800,53.100,10.100,18.300,9.100,11.500,16.300,9.300,955.200,1.600,4.000,1.900,1.900,17.000,101.600,1.400,5.690,35.643
2013,-0.536,0.844,63.600,6.500,68.100,7.300,156.900,6.900,44.500,9.400,16.600,10.800,10.800,13.800,9.700,983.200,1.600,5.700,1.700,2.200,16.500,101.600,1.400,6.220,29.566
2014,-0.968,0.252,78.400,1.900,71.100,5.200,129.300,4.900,34.900,7.500,10.400,7.100,8.600,26.700,11.800,1009.700,2.100,6.200,1.300,2.100,14.600,101.600,1.400,6.280,23.043
2015,-0.833,0.553,24.200,4.300,36.300,1.600,101.500,2.400,14.000,4.600,7.300,8.300,4.800,16.700,6.600,951.700,2.200,3.300,0.800,2.300,14.100,101.600,1.400,6.850,16.456
2016,-0.530,0.848,11.200,5.600,30.300,7.900,75.700,2.700,8.500,4.200,6.300,5.800,6.100,21.900,8.400,1003.700,1.700,2.600,0.700,3.100,13.300,101.600,1.400,11.470,12.034
2017,-0.631,0.776,4.500,4.900,27.000,8.500,54.500,1.100,10.100,3.000,4.500,6.000,5.400,23.300,6.200,929.600,1.500,1.900,0.500,2.400,12.600,101.600,1.400,19.480,9.696
2018,-0.588,0.809,3.400,5.300,35.600,5.800,42.100,1.600,9.300,3.200,3.500,5.300,3.500,28.800,11.900,935.800,1.500,2.000,0.400,2.600,12.400,101.500,1.400,23.230,10.419
2019,-0.820,0.572,6.400,5.200,26.500,6.700,62.800,1.700,9.000,3.800,4.300,4.500,3.200,24.800,16.300,1118.700,2.900,4.700,0.400,3.400,11.200,101.400,1.400,16.750,11.996
2020,-0.721,0.693,4.800,5.500,25.100,8.500,52.000,1.300,6.300,3.900,4.600,6.800,2.000,30.900,18.400,981.900,1.600,8.000,0.400,3.900,11.300,101.400,1.400,18.210,13.561
2021,-0.797,0.605,19.800,5.800,14.900,5.300,82.400,3.100,20.700,7.100,9.000,6.000,3.600,34.900,7.300,1071.000,1.400,5.000,0.800,3.900,10.800,101.400,1.400,8.240,13.814
2022,-0.672,0.741,14.600,3.800,10.500,8.400,81.800,4.100,5.500,5.500,9.100,5.800,5.100,18.800,5.900,965.100,1.500,3.500,0.800,4.100,12.100,101.400,19.000,13.490,14.715
2023,-0.609,0.793,9.500,5.700,5.800,8.000,63.500,3.900,9.400,4.100,5.100,3.100,2.800,183.800,4.900,925.300,1.400,2.200,0.600,4.700,12.500,101.400,122.800,19.610,16.310
2024,-0.424,0.906,11.000,6.200,7.200,7.300,46.300,3.600,11.000,2.600,4.900,2.600,1.600,159.400,13.900,1014.600,1.400,1.400,0.500,4.400,14.800,101.500,233.800,26.030,18.130
2025,-0.222,0.975,12.900,3.700,9.300,7.700,51.700,2.900,11.300,2.700,4.900,2.600,2.100,14.000,11.700,836.500,1.400,1.100,0.400,2.300,16.900,101.500,237.100,27.160,19.090
2026,0.144,0.990,22.100,3.500,33.200,9.000,51.200,3.600,7.400,2.700,4.700,3.500,2.400,26.500,15.100,989.200,1.400,1.300,0.500,4.200,17.700,101.500,514.000,28.130,19.703
2027,0.105,0.995,14.800,3.700,40.000,9.100,41.300,2.900,7.500,1.400,4.100,5.600,4.300,25.700,9.300,1039.100,1.600,1.500,0.400,5.300,17.700,101.400,537.600,34.860,21.966
2028,0.237,0.972,12.400,5.700,28.000,9.100,36.800,2.500,6.500,1.400,2.100,3.000,5.500,36.800,11.500,879.400,1.500,1.300,0.400,5.000,17.700,101.300,360.900,38.770,24.536
2029,0.191,0.982,13.800,6.200,23.600,10.900,37.200,3.100,5.800,2.500,4.200,6.400,6.100,43.400,9.800,943.600,1.400,1.300,0.500,6.700,17.300,101.100,432.000,45.810,29.233
2030,0.038,0.999,10.200,7.600,22.800,13.000,36.800,5.400,7.200,1.800,3.700,3.500,4.900,48.900,8.500,1039.200,1.600,1.300,0.400,7.000,17.700,101.000,402.400,57.540,34.739
2031,0.068,0.998,8.100,8.600,22.400,12.100,43.800,3.600,9.300,2.000,5.000,6.200,3.800,48.800,12.600,1050.800,1.600,1.100,0.400,7.300,17.500,101.000,214.300,47.980,38.285
2032,0.007,1.000,6.400,8.000,19.100,11.300,47.400,4.000,8.500,2.500,3.700,3.400,4.400,46.900,7.500,978.400,1.700,1.100,0.500,7.600,17.000,100.900,90.100,48.390,41.080
2033,-0.245,0.969,7.500,7.200,15.000,13.800,59.100,4.000,12.600,3.100,5.400,3.600,3.600,55.600,9.100,707.400,1.600,1.300,0.500,7.600,16.800,100.900,14.300,46.470,43.494
2034,-0.262,0.965,5.400,6.300,17.900,10.500,58.700,4.800,16.400,3.100,6.200,5.100,4.300,88.000,12.600,806.100,1.600,1.200,0.600,8.300,16.500,100.900,1.400,41.450,45.159
2035,-0.257,0.966,13.500,8.300,85.400,6.500,103.200,3.500,17.100,3.200,6.200,9.100,5.400,20.800,2.700,949.100,1.600,2.500,0.600,7.000,17.000,101.000,1.400,25.520,43.991
2036,-0.334,0.943,22.700,8.400,146.500,3.700,120.500,2.700,22.000,3.100,8.900,16.700,6.000,8.300,3.500,1138.700,1.700,3.300,0.700,5.100,17.300,101.000,1.400,14.190,40.919
2037,-0.546,0.838,8.500,9.000,20.500,11.800,63.400,3.600,13.100,3.300,6.900,3.100,5.000,53.000,8.000,930.800,1.700,2.600,0.600,4.800,17.100,101.000,1.400,24.180,38.215
2038,-0.935,0.355,8.900,18.400,10.300,8.500,58.700,4.100,14.800,3.400,6.900,5.400,5.200,134.800,8.000,936.700,1.700,2.000,0.600,5.400,16.400,101.200,1.300,24.870,34.131
2039,-0.774,0.633,6.500,20.000,15.000,9.700,46.400,3.500,8.700,3.000,5.100,5.000,4.200,20.700,12.400,889.300,1.600,1.700,0.500,4.500,16.400,101.100,1.400,25.830,31.363
2040,-0.996,-0.089,14.200,24.600,13.300,7.500,65.600,2.000,8.100,3.600,3.200,5.600,4.800,29.900,6.100,846.800,1.700,1.800,0.600,3.000,16.000,101.100,1.400,16.740,27.406
2041,-0.925,0.379,9.200,29.300,4.400,9.700,58.700,2.200,12.600,3.600,4.100,4.100,4.600,23.900,2.200,927.800,1.600,1.800,0.700,2.200,15.900,101.100,1.400,17.080,23.733
2042,-0.602,0.799,14.600,25.400,13.100,8.600,63.400,2.700,13.600,4.000,5.500,5.700,6.200,23.500,3.800,789.700,1.800,1.800,0.600,2.000,15.400,101.100,1.400,12.300,20.089
2043,-0.943,-0.332,12.700,18.100,12.200,7.700,61.200,1.400,14.100,2.800,5.100,7.300,3.700,23.600,4.100,593.900,1.800,2.300,0.500,1.700,14.600,101.200,1.400,9.500,18.086
2044,-0.345,-0.938,8.100,12.100,4.700,10.100,42.800,1.100,3.300,2.500,2.600,5.400,5.700,25.600,2.300,1088.800,1.400,1.700,0.400,2.400,16.000,101.200,1.400,18.950,18.681
2045,-0.125,-0.992,6.900,5.300,7.200,11.100,31.000,0.800,5.800,2.500,3.000,5.500,5.400,41.100,4.200,727.000,1.500,1.100,0.300,2.600,15.600,101.300,1.400,27.090,19.045
2046,-0.075,-0.997,7.400,4.700,10.000,10.700,37.700,1.900,6.500,3.300,2.700,4.800,2.500,51.300,8.400,931.700,1.400,0.900,0.400,3.400,15.200,101.400,8.600,26.040,19.191
2047,-0.194,-0.981,8.500,4.700,9.700,11.300,43.200,2.900,5.200,3.100,4.200,3.500,3.500,36.600,8.200,831.900,1.400,1.200,0.400,3.900,15.400,101.500,111.500,27.070,19.346
2048,-0.186,-0.983,12.000,3.700,10.600,11.400,36.100,1.800,6.200,3.100,2.300,5.000,4.500,51.200,5.200,952.000,1.500,1.200,0.400,3.500,16.100,101.600,271.400,29.380,20.926
2049,-0.052,-0.999,16.700,1.400,99.100,13.600,38.800,1.500,8.900,3.000,8.300,17.400,5.400,40.200,11.400,809.300,1.400,1.300,0.400,3.900,17.300,101.700,424.600,33.520,22.981
2050,-0.016,-1.000,11.400,3.700,8.900,9.900,16.400,1.900,5.000,1.900,2.600,2.700,5.100,48.500,4.200,845.700,1.500,1.200,0.300,4.200,18.300,101.700,542.900,41.930,26.685
2051,0.208,-0.978,8.100,2.700,8.400,8.500,13.600,2.200,4.100,2.500,4.300,5.300,4.900,58.400,5.500,1030.800,1.500,0.800,0.300,4.700,19.300,101.600,608.600,44.250,31.029
2052,0.208,-0.978,8.400,2.300,16.600,8.100,12.100,2.400,4.300,2.000,3.200,3.900,4.000,43.700,6.100,890.500,1.400,0.700,0.300,4.900,20.100,101.500,601.200,43.520,34.100
2053,0.071,-0.997,6.900,3.800,13.400,8.100,11.200,2.000,3.700,1.500,2.600,4.400,3.300,36.100,6.700,861.300,1.400,0.800,0.300,4.600,20.800,101.500,532.700,42.170,35.985
2054,0.167,-0.986,4.000,2.900,8.200,7.800,14.300,2.700,3.900,1.400,1.900,2.500,3.400,34.500,8.300,908.800,1.500,0.900,0.300,4.800,21.300,101.500,399.900,39.930,37.721
2055,0.143,-0.990,8.300,1.400,43.400,8.600,22.000,1.400,4.800,1.300,2.700,6.100,5.900,46.200,5.200,1000.600,1.400,0.800,0.300,4.800,21.300,101.500,266.100,35.210,38.739
2056,0.245,-0.969,10.300,0.800,38.000,9.300,30.700,1.800,5.200,1.700,2.500,7.500,4.900,37.400,6.700,901.800,1.300,1.000,0.300,4.700,20.900,101.500,116.000,30.600,38.891
2057,0.317,-0.948,6.800,3.200,24.800,9.500,37.100,2.100,5.900,2.300,3.200,4.900,4.300,35.400,3.500,896.700,1.400,1.300,0.400,4.400,20.000,101.600,19.500,30.120,38.466
2058,0.331,-0.944,8.900,4.000,3.200,9.100,40.900,1.800,5.600,2.300,1.700,4.500,5.100,44.900,2.700,960.100,1.500,1.400,0.400,4.100,19.000,101.600,1.400,29.720,36.940
2059,0.324,-0.946,8.000,4.800,3.100,9.800,54.000,2.600,6.100,2.100,4.000,5.800,3.600,14.100,3.000,716.800,1.400,1.600,0.500,3.500,18.400,101.700,1.400,21.000,34.034
2060,0.274,-0.962,9.400,5.300,3.700,9.500,43.700,1.600,5.200,1.700,2.300,6.500,5.100,38.800,4.500,818.000,1.500,1.400,0.500,3.800,18.000,101.800,1.400,25.950,31.838
2061,0.297,-0.955,8.000,3.000,5.000,10.500,39.600,1.300,4.500,2.100,2.900,6.800,5.400,43.200,8.400,902.300,1.500,1.200,0.400,3.700,17.300,101.800,1.400,28.060,30.074
2062,0.262,-0.965,7.600,3.800,6.400,10.400,37.700,1.500,5.300,2.700,3.100,6.800,5.500,51.800,7.500,917.100,1.400,1.000,0.400,3.500,16.700,101.800,1.400,27.850,28.564
2063,0.342,-0.940,8.100,5.800,5.200,10.500,30.500,1.400,4.400,3.100,3.100,7.000,5.500,60.800,5.300,860.300,1.500,1.100,0.400,4.100,16.000,101.900,1.400,29.430,27.841
2064,0.424,-0.906,3.700,5.900,4.800,8.000,25.100,2.000,4.000,2.600,3.000,6.100,2.500,40.700,7.400,818.400,1.600,1.500,0.300,3.800,15.300,101.800,1.400,30.760,27.861
2065,0.331,-0.944,2.800,8.800,7.100,8.400,19.800,1.700,4.600,2.100,2.700,1.900,2.200,39.300,7.000,1124.600,1.500,1.700,0.300,3.700,14.900,101.800,1.400,31.060,27.979
2066,0.363,-0.932,3.200,5.900,7.500,8.000,13.800,2.100,4.600,2.200,2.600,3.500,1.700,46.000,9.200,1166.700,1.500,1.900,0.300,3.900,14.100,101.800,1.400,32.150,28.283
2067,0.277,-0.961,4.500,8.900,7.000,8.000,12.300,2.300,3.500,2.500,1.700,4.400,2.400,44.400,10.100,976.900,1.600,1.800,0.300,3.900,13.500,101.800,1.400,31.010,29.534
2068,0.089,-0.996,3.900,8.600,8.200,8.700,16.800,1.900,5.100,2.600,1.700,2.400,2.100,38.700,8.600,956.000,1.500,1.500,0.300,3.800,12.900,101.900,1.400,28.380,29.838
2069,0.092,-0.996,3.500,7.200,19.400,7.100,18.400,1.100,4.800,2.700,2.400,2.600,2.500,39.800,9.500,887.400,1.500,1.400,0.300,3.400,12.300,102.000,1.400,27.230,29.734
2070,0.101,-0.995,6.100,5.200,75.200,7.600,29.400,1.000,6.100,2.800,2.700,6.900,2.400,31.700,8.000,805.100,1.400,1.700,0.300,3.600,11.800,102.000,23.000,24.280,29.288
2071,0.299,-0.954,9.100,4.100,44.300,7.300,19.700,1.400,6.100,2.800,3.100,5.400,3.000,32.000,7.700,1008.700,1.400,1.800,0.300,4.800,12.200,102.000,164.000,25.910,28.848
2072,0.299,-0.954,9.400,5.700,53.600,7.500,17.200,1.600,5.800,2.400,1.800,2.700,5.100,30.500,5.900,964.200,1.500,1.800,0.300,5.900,13.600,102.100,355.800,26.400,28.303
2073,0.257,-0.966,6.300,3.300,39.300,6.400,8.800,2.100,4.400,1.400,2.300,4.300,2.200,25.100,9.600,934.000,1.500,1.600,0.200,6.600,15.200,102.100,519.200,33.100,28.558
2074,0.332,-0.943,3.400,4.100,13.300,6.700,5.900,2.000,3.000,0.800,2.800,3.300,1.100,28.500,11.300,963.500,1.500,1.300,0.200,6.500,16.400,102.100,634.600,37.660,29.246
2075,0.383,-0.924,5.100,4.300,7.800,6.500,5.800,2.800,4.100,1.400,2.200,1.400,1.700,36.200,5.900,867.900,1.500,1.100,0.200,7.200,17.600,102.100,714.600,40.180,30.393
2076,0.407,-0.914,4.300,4.100,3.300,5.000,3.100,2.400,3.100,1.300,2.700,1.700,1.000,33.300,6.000,838.900,1.300,1.100,0.200,7.400,18.400,102.000,713.300,41.870,32.079
2077,0.431,-0.903,3.600,3.300,3.000,4.500,6.500,3.200,3.400,1.000,2.200,2.000,2.900,29.900,7.100,956.300,1.400,1.100,0.200,7.000,19.400,101.900,656.500,40.510,33.739
2078,0.454,-0.891,4.000,2.900,4.600,5.600,5.800,2.600,3.100,1.300,2.700,3.200,2.200,30.000,7.000,896.200,1.400,0.900,0.200,6.800,19.900,101.900,530.400,43.420,36.131
2079,0.494,-0.869,2.600,2.700,7.800,6.000,8.000,2.700,3.200,1.400,2.700,2.800,3.700,32.200,6.900,857.300,1.300,1.000,0.200,6.500,20.200,101.900,365.500,44.510,38.456
2080,0.543,-0.840,3.600,3.000,8.800,7.200,11.900,2.000,3.600,1.800,2.600,4.100,3.400,40.100,8.000,871.900,1.400,1.200,0.200,5.900,19.800,101.900,169.500,40.520,40.221
2081,0.407,-0.914,3.800,4.400,6.000,6.500,26.600,1.900,5.100,2.000,1.800,5.000,4.200,38.300,5.700,845.600,1.400,1.200,0.300,4.400,19.100,101.900,26.400,36.050,40.590
2082,0.416,-0.909,4.500,5.600,4.600,9.200,43.600,2.500,5.400,2.500,3.400,3.900,3.100,25.100,5.300,940.700,1.500,1.700,0.400,3.300,18.400,102.000,1.400,30.730,39.724
2083,0.486,-0.874,7.000,5.400,3.400,9.700,58.900,2.900,7.200,2.900,2.900,4.200,3.600,24.100,2.600,904.500,1.400,1.700,0.500,2.500,17.500,102.000,1.400,22.550,37.520
2084,0.482,-0.876,7.600,7.500,4.200,10.400,60.200,2.000,7.700,2.700,3.500,5.000,4.600,23.100,2.300,948.400,1.600,1.800,0.500,2.200,16.800,102.100,1.400,19.030,34.665
2085,0.379,-0.925,12.600,6.800,5.400,10.300,75.000,1.800,9.800,3.800,4.900,6.200,4.000,17.700,2.000,933.800,1.500,2.100,0.600,1.500,16.400,102.100,1.400,14.830,31.455
2086,-0.482,-0.876,68.200,4.500,36.000,6.100,93.300,3.300,28.300,5.500,6.400,8.800,9.900,18.200,5.500,1128.600,1.500,2.500,1.100,1.500,15.300,102.100,1.400,8.760,27.123
2087,-0.463,-0.886,65.200,7.700,6.600,4.100,95.700,3.600,33.600,6.700,8.400,6.000,10.900,36.200,3.400,1021.200,1.500,3.200,1.300,1.700,14.600,102.100,1.400,4.640,22.139
2088,-0.019,-1.000,14.500,7.900,3.100,7.500,90.100,3.900,20.100,6.200,8.400,7.800,4.600,37.300,2.600,916.500,1.500,2.400,0.900,2.100,14.100,102.100,1.400,5.550,17.768
2089,0.163,-0.987,11.500,5.000,3.200,10.700,74.800,2.000,8.200,3.700,4.600,3.700,3.600,11.800,3.100,1024.200,1.400,1.500,0.700,2.000,13.500,102.100,1.400,10.840,14.616
2090,-0.137,-0.991,6.800,5.100,5.000,7.700,47.100,2.200,5.800,3.100,3.800,2.800,2.500,18.100,3.800,893.700,1.600,1.400,0.500,1.900,13.000,102.000,1.400,19.040,13.155
2091,0.277,-0.961,4.500,4.700,8.400,7.500,35.500,2.100,4.200,3.200,3.200,4.400,1.700,26.400,7.100,1126.800,1.400,1.500,0.400,1.800,12.600,102.000,1.400,23.860,13.319
2092,-0.244,-0.970,10.000,4.700,9.500,7.100,32.900,2.000,5.000,2.800,1.700,2.800,2.200,24.000,9.400,925.800,1.400,1.500,0.300,2.000,12.400,102.000,1.400,26.080,14.200
2093,-0.612,-0.791,36.900,4.700,6.800,6.100,57.600,2.600,14.600,4.700,6.200,6.500,5.800,32.800,6.900,1082.300,1.500,1.100,0.600,1.400,11.400,102.100,1.400,18.480,14.656
2094,-0.999,-0.037,129.200,8.200,8.800,5.300,88.400,4.200,27.700,7.200,11.400,11.000,10.700,38.000,1.400,1015.700,1.500,2.300,1.300,1.400,10.100,102.200,31.000,6.430,14.365
2095,-0.616,-0.788,83.100,5.900,14.200,8.300,73.300,2.300,11.600,4.500,7.100,6.700,6.700,31.000,9.700,981.500,1.400,2.300,1.100,1.500,11.700,102.200,202.700,8.980,14.908
2096,-0.319,-0.948,43.800,3.500,244.700,12.000,63.900,1.100,13.100,3.500,8.400,13.800,6.600,28.200,5.200,1130.500,1.500,2.300,0.700,2.300,13.600,102.200,330.800,20.110,16.728
2097,-0.030,-1.000,28.400,1.800,416.500,9.800,51.800,1.300,16.400,1.600,7.500,17.100,5.700,20.300,2.000,1030.200,1.500,5.400,0.400,3.300,15.600,102.300,548.100,29.760,19.093
2098,0.302,-0.953,19.900,3.400,437.400,10.700,46.200,0.800,13.800,1.000,5.500,19.900,5.600,21.400,3.300,833.800,1.300,10.800,0.300,4.000,17.300,102.200,624.100,36.850,21.319
2099,0.543,-0.840,1.600,2.100,65.300,6.500,16.500,3.100,6.700,0.600,3.000,11.400,2.100,23.500,14.300,846.200,1.500,6.000,0.200,4.300,18.400,102.200,717.600,48.950,24.455
2100,0.503,-0.864,2.700,2.900,48.300,5.500,11.400,3.700,5.000,1.500,1.700,0.700,2.400,37.900,19.100,900.500,1.300,2.700,0.200,4.000,19.300,102.100,723.000,50.880,27.555
2101,0.562,-0.827,2.100,3.000,18.600,6.800,5.800,3.100,4.000,1.600,3.400,5.100,3.200,43.800,17.000,877.100,1.500,1.400,0.200,3.700,20.100,102.000,726.300,55.900,32.233
2102,0.627,-0.779,1.500,1.500,18.500,6.400,5.300,2.600,4.400,1.700,2.300,5.500,2.500,43.700,14.700,1040.500,1.300,1.300,0.200,3.400,20.700,101.900,599.600,54.720,38.269
2103,0.693,-0.721,3.000,2.200,13.500,6.600,3.900,2.100,3.700,1.200,2.600,4.100,2.700,43.200,10.600,842.000,1.300,1.100,0.200,3.200,20.900,101.900,319.900,48.610,43.223
2104,0.710,-0.705,5.100,3.000,8.700,6.300,11.900,2.300,3.500,1.900,2.300,4.400,5.000,51.200,6.500,754.400,1.300,2.600,0.200,3.300,20.700,101.900,166.300,45.330,46.375
2105,0.632,-0.775,9.100,3.300,7.300,5.700,35.500,1.100,8.200,4.500,6.100,8.300,6.100,58.100,3.800,985.100,1.300,7.600,0.300,2.100,20.100,101.900,16.800,32.690,46.741
2106,0.405,-0.914,47.600,4.300,5.800,3.400,116.200,2.800,18.900,4.100,7.900,6.600,6.700,22.700,2.500,741.700,1.300,6.900,0.900,1.000,19.100,101.900,1.400,6.010,42.886
2107,-0.042,-0.999,104.400,4.400,6.800,7.100,119.000,4.100,36.300,9.300,14.000,12.800,11.700,44.000,2.500,1026.400,1.200,3.800,1.500,0.800,18.400,101.900,1.400,3.370,37.189
2108,-0.340,-0.940,100.400,2.600,8.000,7.300,113.000,7.400,43.700,9.500,17.100,11.000,11.900,20.900,1.800,1053.000,1.500,4.000,1.700,0.800,17.600,102.000,1.400,5.130,31.470
2109,-0.327,-0.945,195.200,4.700,9.500,8.000,110.600,10.300,66.000,12.000,21.500,11.700,21.400,2.900,2.900,1158.000,1.600,4.200,2.400,0.700,16.700,102.000,1.400,5.950,25.226
2110,-1.000,-0.026,347.900,5.600,12.500,9.500,97.800,12.700,91.900,14.000,26.200,12.800,32.200,17.000,4.100,1082.800,1.500,6.400,3.300,1.600,14.500,102.000,1.400,8.400,19.436
2111,-1.000,0.019,256.600,2.700,12.300,6.300,93.300,9.100,63.400,9.900,16.100,9.400,23.400,0.100,5.400,1111.600,1.400,6.300,2.400,1.300,13.600,101.900,1.400,5.360,14.030
2112,-0.997,0.077,190.300,3.200,10.100,5.200,91.400,8.700,61.100,9.400,16.300,10.900,25.600,0.100,4.900,1138.100,1.400,5.400,2.200,1.600,12.900,101.900,1.400,5.830,9.093
2113,-0.998,-0.058,283.800,1.500,10.700,6.500,93.600,9.500,60.400,10.800,18.700,10.300,19.300,0.100,3.400,1188.900,1.500,5.000,2.600,1.100,12.800,101.900,1.400,7.380,5.929
2114,-0.945,-0.327,264.700,0.400,8.500,5.900,86.200,9.400,57.500,11.500,19.500,8.100,15.600,11.600,1.200,1182.900,1.600,5.300,2.700,1.500,11.700,101.800,1.400,7.410,6.104
2115,-1.000,0.026,141.400,0.100,7.600,3.200,84.800,6.900,36.100,7.200,9.900,4.600,8.800,29.300,2.900,1055.900,1.900,4.200,1.700,1.900,11.300,101.800,1.400,6.480,6.493
2116,-0.946,0.324,147.100,0.100,8.700,3.900,90.100,5.700,31.600,6.900,9.200,6.500,7.200,30.900,3.000,1107.300,3.000,3.700,1.300,1.800,11.300,101.800,1.400,6.720,6.691
2117,-0.913,0.408,131.300,1.700,6.800,6.600,78.500,5.200,47.100,9.000,17.400,13.000,11.400,34.500,1.700,1048.000,3.400,3.100,1.600,1.800,10.300,101.800,1.400,6.560,6.768
2118,-0.999,0.045,360.900,1.200,14.600,10.300,92.600,11.700,77.200,17.400,33.900,14.600,22.300,27.400,4.200,963.400,3.800,4.600,2.900,1.600,9.700,101.900,29.300,8.790,6.816
2119,-0.990,-0.144,269.500,3.000,12.900,8.000,88.300,4.700,50.100,12.700,21.800,12.800,13.700,32.400,0.900,1064.600,2.200,5.600,2.500,1.500,10.600,101.900,202.800,7.330,7.063
2120,-0.993,0.120,151.300,1.300,9.600,5.700,87.500,4.500,14.000,6.800,12.400,6.000,5.300,25.900,2.100,1097.500,1.700,4.500,1.500,1.100,13.200,102.000,402.800,8.360,7.379
