Index,1_WD_COS,1_WD_SIN,1_NO,1_NH3,1_SO2,1_FOR,1_NO2,1_BEN,1_TOL,1_pXY,1_mXY,1_123TMB,1_oXY,1_ETB,1_STY,1_CO2,1_CH4,1_H2S,1_CO,1_WS,1_TEMP,1_ATP,1_SR,1_o3ppb,8hro3ppb
12545,-0.061,0.998,19.300,2.000,29.500,11.300,77.900,1.800,6.600,4.400,5.800,17.500,3.400,25.800,8.300,927.400,1.400,3.000,0.900,3.400,31.400,100.600,72.000,35.750,32.833
12546,-0.151,0.988,31.800,3.900,31.400,10.900,135.200,2.600,16.900,4.700,8.000,19.800,3.700,21.200,9.000,1080.700,1.400,3.100,1.100,2.200,30.000,100.600,7.300,11.370,31.904
12547,-0.146,0.989,36.600,3.900,14.900,11.700,131.600,2.300,14.700,3.400,8.100,18.900,2.100,14.300,5.400,914.400,1.400,3.100,1.200,2.300,29.300,100.600,1.300,10.100,29.793
12548,-0.105,0.995,72.500,4.400,24.500,15.600,137.000,3.800,23.700,2.400,10.000,20.400,4.200,26.600,7.400,1132.800,1.400,3.600,1.300,2.400,29.000,100.600,1.400,6.240,27.489
12549,-0.432,0.902,70.900,4.700,19.100,13.400,134.600,3.700,27.600,3.300,10.200,17.800,3.100,35.500,7.800,1094.900,1.500,4.100,1.300,2.300,28.800,100.600,1.400,6.810,23.651
12550,-0.690,0.724,49.800,12.400,98.100,15.300,125.100,3.000,22.000,3.700,9.600,26.100,4.400,40.600,17.000,1141.200,1.500,5.800,0.900,2.300,27.900,100.600,1.300,4.970,19.188
12551,-0.721,0.693,8.100,5.600,13.200,8.800,72.400,2.000,6.600,3.200,7.200,15.500,2.500,29.800,6.400,1119.700,1.500,5.300,0.600,2.400,27.200,100.600,1.300,21.190,16.985
12552,-0.903,0.429,13.700,6.400,8.400,9.200,81.800,1.700,7.700,1.600,5.900,18.600,2.800,10.300,3.600,891.700,1.500,3.800,0.600,1.400,26.300,100.600,1.300,14.480,13.864
12553,-0.985,0.172,6.200,4.400,6.000,3.100,58.800,1.700,4.800,2.200,4.000,14.200,1.500,10.600,5.900,1055.100,1.600,3.300,0.500,1.600,25.700,100.500,1.400,17.920,11.635
12554,-0.998,0.065,11.700,6.200,6.400,5.900,71.700,1.500,5.900,2.200,4.700,14.300,1.900,11.200,5.200,963.700,1.500,3.000,0.600,1.200,25.000,100.500,1.400,11.090,11.600
12555,-0.640,0.768,26.400,4.100,20.500,10.600,64.200,1.400,4.500,1.800,5.100,16.200,2.900,26.700,9.000,1010.100,1.500,5.600,0.500,1.000,25.400,100.500,1.300,15.220,12.240
12556,-0.748,0.664,45.700,4.900,30.300,12.500,100.400,2.000,10.800,0.800,6.800,24.100,3.700,27.200,8.900,1147.300,1.400,6.600,0.700,2.200,24.900,100.600,1.700,7.030,12.339
12557,-0.843,0.537,112.300,3.300,43.900,16.000,95.900,2.800,11.600,1.900,7.100,21.800,3.500,34.000,8.300,1062.100,1.800,7.200,1.100,1.300,23.800,100.600,37.400,5.160,12.133
12558,-0.031,1.000,214.500,4.200,56.100,11.900,108.400,5.600,26.000,5.300,11.600,24.500,5.700,49.100,11.800,1051.900,1.800,10.600,1.900,1.200,25.800,100.700,184.900,7.250,12.418
12559,-0.016,1.000,150.400,4.700,43.900,14.500,119.400,4.300,16.800,4.400,10.500,27.000,4.700,33.200,9.500,1069.600,1.500,10.200,1.800,2.400,27.900,100.700,369.000,12.940,11.386
