,principal_comp_0,principal_comp_1,principal_comp_2,principal_comp_3,principal_comp_4,principal_comp_5,principal_comp_6,principal_comp_7,principal_comp_8,principal_comp_9,principal_comp_10,principal_comp_11,principal_comp_12,target_t+3,target_t+0
21,-0.875920295715,-1.51330173016,-0.893871188164,-0.727894544601,-0.408069849014,-0.850225687027,-0.943816483021,1.00172424316,-0.501782357693,2.1883597374,0.158886611462,-0.910226821899,0.407709389925,0.039,0.043
22,-0.822110176086,-1.3538851738,-0.234344512224,-0.220360979438,-0.699445009232,-0.972590446472,-0.873317599297,-0.273238986731,-0.522284448147,1.35048413277,2.00016951561,-0.243487104774,0.462143480778,0.037,0.037
23,-0.776280522346,1.48571908474,0.924330055714,0.711671710014,-0.0658050179482,-0.510538697243,-1.09042441845,0.627278864384,-0.995863437653,-0.648224234581,-0.000759081798606,0.590068817139,-0.192293852568,0.044,0.025
24,-0.788129746914,1.30532348156,1.23799741268,1.1970205307,0.297000527382,-0.353020578623,-0.133736550808,-0.104243427515,-0.842978239059,-0.336535662413,0.639632761478,-0.61953830719,0.376656979322,0.038,0.039
25,-0.950879395008,0.53796261549,-1.18774485588,-0.506346821785,1.75158309937,-0.406129747629,-0.989679038525,3.25563311577,-0.963857412338,0.554230153561,-0.590778589249,-0.911301076412,-0.472778499126,0.033,0.037
26,-0.793768525124,-0.765952944756,1.31804668903,0.310427367687,0.701648116112,0.0528977625072,-0.367489010096,1.41281723976,-0.689101219177,-0.481461435556,0.15273244679,-0.269164204597,0.159229829907,0.036,0.044
27,-0.80100518465,-0.201528057456,0.967495083809,-0.285230576992,0.348971515894,-0.440938085318,-0.970879077911,2.133685112,-0.523074924946,-0.268239140511,0.693872928619,-0.3526083529,-0.546701908112,0.038,0.038
28,-0.858309566975,-0.99035513401,-1.03612458706,0.261579245329,0.0246979035437,-1.0470906496,-0.842436909676,-0.0847472921014,-0.400162518024,0.601754844189,1.59517300129,-0.885970234871,0.646095097065,0.034,0.033
29,-0.941787421703,1.13566327095,-0.59512925148,0.425137102604,1.23272490501,-0.621306359768,-0.01220645383,-1.47703182697,-0.729347109795,-0.136999353766,0.074128203094,-0.422714740038,0.0442580319941,0.036,0.036
30,-0.85690420866,0.147882848978,0.866849660873,0.255324989557,0.648007273674,-0.196672871709,-0.584720790386,-0.145003587008,-0.548740327358,2.28376197815,-0.799178898335,-0.474050819874,0.169635102153,0.027,0.038
31,-0.820016622543,0.919970333576,1.53939414024,-0.564465582371,-0.113515548408,1.09109210968,-1.14550828934,0.973512530327,-0.549942374229,1.23807239532,1.5964038372,-0.520530939102,-0.952045798302,0.026,0.034
32,-0.749097764492,-0.900266706944,1.75593185425,0.40843307972,-0.392996549606,1.20285344124,-0.877063751221,0.327461361885,-0.70620405674,0.525016546249,0.836691200733,-0.740164458752,0.239788725972,0.042,0.036
33,-0.829298317432,1.10931503773,0.847398936749,-0.0308593660593,0.269602864981,-0.556352436543,-1.03072488308,0.0572511032224,-0.379496186972,0.113646887243,0.892724871635,0.519195616245,-0.543824732304,0.038,0.027
34,-0.781243443489,-0.903773844242,1.37848865986,0.757976830006,0.286572396755,0.181462928653,-1.08907461166,-0.649470984936,0.170555859804,1.04202151299,1.47779977322,-0.410965591669,-0.188561528921,0.05,0.026
35,-0.872220993042,-0.854651391506,0.533832073212,-1.03727579117,-0.156523168087,0.412380903959,-0.621645569801,-0.53225171566,0.42714214325,0.726638317108,2.02774715424,-0.850867390633,-0.870149254799,0.025,0.042
